Vintage,Score,Drink Window,Description,Country,Region,Variety
2011,87,Drink,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",United States,Sonoma,California/Chardonnay
2010,92,Drink,Cool year resulted in uneven quality; best wines are tight and concentrated,United States,Sonoma,California/Chardonnay
2009,95,Drink,"Cooler year showing toned-down ripeness, with more finesse and delicacy",United States,Sonoma,California/Chardonnay
2008,91,Drink,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",United States,Sonoma,California/Chardonnay
2007,96,Drink,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",United States,Sonoma,California/Chardonnay
2006,94,Drink,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",United States,Sonoma,California/Chardonnay
2005,95,Drink,"Restrained wines; trim and tight, with higher acidity",United States,Sonoma,California/Chardonnay
2004,99,Drink,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",United States,Sonoma,California/Chardonnay
2003,88,Drink,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",United States,Sonoma,California/Chardonnay
2002,99,Drink,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",United States,Sonoma,California/Chardonnay
2001,94,Drink,"Best in Carneros and Sonoma; concentrated, with firm acidity",United States,Sonoma,California/Chardonnay
2000,89,Drink,Carneros the clear star; wines elsewhere lack depth and completeness,United States,Sonoma,California/Chardonnay
1999,94,Drink,"Sonoma and Santa Barbara are tops, with rich, complex wines",United States,Sonoma,California/Chardonnay
1998,86,Drink,Lean and austere statewide; highly variable,United States,Sonoma,California/Chardonnay
1997,95,Drink,"Monumental year; very ripe, opulent and complex",United States,Sonoma,California/Chardonnay
1996,95,Drink,Rivals '97 in opulence and concentration; great finesse,United States,Sonoma,California/Chardonnay
2020,86,Drink or hold,"Extremely dry and hot conditions across the state, with a series of devastating wildfires in August and September that covered much of wine country in smoke for extended periods",United States,Sonoma,California/Merlot
2019,90,Drink or hold,"A wet spring led to bursts of midsummer days with temperatures above 100° F, followed by an extended growing season that generally produced supple and elegant reds",United States,Sonoma,California/Merlot
2018,88,Drink or hold,"Amid moderate growing conditions, valley floor sites yielded fleshy, big-textured wines, while mountain vineyards delivered focused minerality and firm structure",United States,Sonoma,California/Merlot
2017,89,Drink or hold,"A late-season heat wave challenged vintners; the best wines are big, ripe and powerful, with taut tannins",United States,Sonoma,California/Merlot
2016,91,Drink or hold,Nearly ideal weather results in plush flavors and structures supported by medium-grained tannins,United States,Sonoma,California/Merlot
2015,88,Drink or hold,"Small crop from another drought vintage; firmly tannic, with deep dark fruit and spice flavors",United States,Sonoma,California/Merlot
2014,89,Drink,Drought-influenced vintage yields well-structured wines with refined fruit flavors,United States,Sonoma,California/Merlot
2013,88,Drink,Sunny weather and a long growing season led to fruit-forward wines,United States,Sonoma,California/Merlot
2012,89,Drink,"Long, warm growing season produced rich, ripe and easy-drinking wines",United States,Sonoma,California/Merlot
2011,83,Drink,"Rainy and cool year; many wines have hard tannins, herbal flavors",United States,Sonoma,California/Merlot
2010,84,Drink,Extremely cool season; many wines are herbal and have unripe tannins,United States,Sonoma,California/Merlot
2009,86,Drink or hold,"Ideal season; best wines show balance, structure and lively acidity",United States,Sonoma,California/Merlot
2008,85,Drink,Top producers made superior wines while others struggled in a cool year,United States,Sonoma,California/Merlot
2007,85,Drink,Supple and appealing wines from Napa; Sonoma offers value,United States,Sonoma,California/Merlot
2006,85,Drink,"Inconsistent; best are rich and supple, but many are lean and herbal",United States,Sonoma,California/Merlot
2005,89,Drink,"Top wines are elegant and well-focused, with ripeness achieved at lower alcohol levels",United States,Sonoma,California/Merlot
2004,88,Drink,"The best are supple, rich and complex; a step above the 2003s",United States,Sonoma,California/Merlot
2003,80,Past peak,Tight and tannic wines; best to decant,United States,Sonoma,California/Merlot
2002,81,Past peak,"About as good as it gets in Napa, with Sonoma lagging",United States,Sonoma,California/Merlot
2001,83,Past peak,"Good, but not on par with '01 Cabernet",United States,Sonoma,California/Merlot
2000,80,Past peak,Mixed in both regions,United States,Sonoma,California/Merlot
1999,81,Past peak,One of the best for Napa; ordinary for Sonoma,United States,Sonoma,California/Merlot
1998,79,Past peak,"Marked by lean, hollow wines",United States,Sonoma,California/Merlot
1997,86,Past peak,"Ripe, opulent and supple wines",United States,Sonoma,California/Merlot
1996,82,Past peak,"Best overall for Napa, with rich, structured wines",United States,Sonoma,California/Merlot
2021,92,Drink or hold,"Dry summer was seasonably warm, with weather cooling after a heat spike near Memorial Day, allowing the grapes time to fully mature",United States,Sonoma,California/Rhône-Style Reds
2020,84,Drink or hold,"Vines were stressed by a hot, dry summer, while wildfires throughout California raised concerns about smoke taint",United States,Sonoma,California/Rhône-Style Reds
2019,92,Drink or hold,Warm but extended growing season produced rich wines with polished tannins; best in the Central Coast,United States,Sonoma,California/Rhône-Style Reds
2018,92,Drink or hold,A goldilocks vintage with a flawless growing season that allowed winemakers to craft impressive wines,United States,Sonoma,California/Rhône-Style Reds
2016,93,Drink or hold,A textbook vintage with nearly ideal growing conditions throughout the year,United States,Sonoma,California/Rhône-Style Reds
2015,94,Drink or hold,"Challenged by a warm season marked by heat spikes, winemakers managed to retain elegance and aromatics",United States,Sonoma,California/Rhône-Style Reds
2014,94,Drink or hold,"Similar to the 2013s, but more ripe, more full-bodied and in some regions more tannic",United States,Sonoma,California/Rhône-Style Reds
2012,92,Drink or hold,Record-sized crop with firmly tannic wines and some real beauties; should reward time in the cellar,United States,Sonoma,California/Rhône-Style Reds
2010,93,Drink,"A cool, late harvest, but amazingly ripe and full-bodied wines",United States,Sonoma,California/Rhône-Style Reds
2009,93,Drink,"Fabulous wines throughout despite a challenging season; the ripeness is there, even if it came late",United States,Sonoma,California/Rhône-Style Reds
2007,92,Drink,"Tremendous quality and uncommon complexity statewide; the best on record, along with 2009 and 2006",United States,Sonoma,California/Rhône-Style Reds
2006,95,Drink,"A golden vintage, fabulous acoss all regions, offering great diversity of styles",United States,Sonoma,California/Rhône-Style Reds
2005,87,Drink,"Intense, structured, high-quality wines",United States,Sonoma,California/Rhône-Style Reds
2004,89,Drink,"A superb vintage, particularly in Napa; concentrated, intense and complex wines",United States,Sonoma,California/Rhône-Style Reds
2003,90,Drink,"Dark, intense, structured and concentrated",United States,Sonoma,California/Rhône-Style Reds
2002,89,Drink,"Tremendous in Napa and Sonoma; dark, rich and plush",United States,Sonoma,California/Rhône-Style Reds
2001,89,Drink,"Solid in all regions, with an edge to Napa; intense and concentrated wines",United States,Sonoma,California/Rhône-Style Reds
2000,87,Drink,"Strong in Napa, showing that Syrah doesn't always run with Cabernet",United States,Sonoma,California/Rhône-Style Reds
2021,91–94,NYR,"Warm season amid ongoing drought, but moderate fall temperatures led to elegant, balanced wines",United States,Sonoma,California/Zinfandel
2020,89,Drink or hold,Highly variable due to extreme heat and wildfire smoke. Wines are dark and often angular; shop carefully,United States,Sonoma,California/Zinfandel
2019,95,Drink or hold,"A warm growing season that produced supple, juicy, fruit-filled wines for short-term drinking",United States,Sonoma,California/Zinfandel
2018,94,Drink or hold,"Nearly ideal growing season, with generally rich and structured wines that are also consumer-friendly",United States,Sonoma,California/Zinfandel
2017,91,Drink or hold,Hot and unusually dry growing season led to wildfires in October; ripe wines with variable quality,United States,Sonoma,California/Zinfandel
2016,95,Drink or hold,"Akin to the 2015s, with the best showing polish and plush textures",United States,Sonoma,California/Zinfandel
2013,92,Drink,Lively but concentrated wines with good structure built for long-term drinking,United States,Sonoma,California/Zinfandel
2012,91,Drink,"Fruit-forward, soft and approachable",United States,Sonoma,California/Zinfandel
2011,88,Drink,Variable quality; best wines are structured and vibrant,United States,Sonoma,California/Zinfandel
2010,88,Drink,"Tough growing season; quality varies, but many flavorful, well-balanced wines",United States,Sonoma,California/Zinfandel
2009,92,Drink,"Long, cool season; wines are balanced and elegant, with typically modest alcohol levels",United States,Sonoma,California/Zinfandel
2008,93,Drink,"Eccentric growing season, but wines show surprising richness and balance",United States,Sonoma,California/Zinfandel
2007,91,Drink,"Growing season was ideal; wines are supple and elegantly ripe, but with good backbone",United States,Sonoma,California/Zinfandel
2006,90,Drink,"Top wines are fruit-forward, elegant and balanced; well-structured",United States,Sonoma,California/Zinfandel
2004,86,Drink,Warm year produced jammy wines; ripeness often over the top,United States,Sonoma,California/Zinfandel
2021,94,Drink or hold,"Dry summer was seasonably warm, with weather cooling after a heat spike near Memorial Day, allowing the grapes time to fully mature",United States,Paso Robles,California/Rhône-Style Reds
2020,92,Drink or hold,"Vines were stressed by a hot, dry summer, while wildfires throughout California raised concerns about smoke taint",United States,Paso Robles,California/Rhône-Style Reds
2019,95,Drink or hold,Warm but extended growing season produced rich wines with polished tannins; best in the Central Coast,United States,Paso Robles,California/Rhône-Style Reds
2018,94,Drink or hold,A goldilocks vintage with a flawless growing season that allowed winemakers to craft impressive wines,United States,Paso Robles,California/Rhône-Style Reds
2017,90,Drink or hold,"Dramatic weather conditions, from floods to heat waves to wildfires, add up to a variable and challenging vintage",United States,Paso Robles,California/Rhône-Style Reds
2016,94,Drink or hold,A textbook vintage with nearly ideal growing conditions throughout the year,United States,Paso Robles,California/Rhône-Style Reds
2015,94,Drink or hold,"Challenged by a warm season marked by heat spikes, winemakers managed to retain elegance and aromatics",United States,Paso Robles,California/Rhône-Style Reds
2014,92,Drink or hold,"Similar to the 2013s, but more ripe, more full-bodied and in some regions more tannic",United States,Paso Robles,California/Rhône-Style Reds
2013,94,Drink or hold,Nearly ideal growing season with lots of sunshine but few heat spikes; wines are expressive early but show aging potential,United States,Paso Robles,California/Rhône-Style Reds
2012,93,Drink or hold,Record-sized crop with firmly tannic wines and some real beauties; should reward time in the cellar,United States,Paso Robles,California/Rhône-Style Reds
2011,87,Drink,"A damp, cool year led to mixed results. Off the pace of best years, yet there are pockets of success; early drinkers",United States,Paso Robles,California/Rhône-Style Reds
2010,97,Drink,"A cool, late harvest, but amazingly ripe and full-bodied wines",United States,Paso Robles,California/Rhône-Style Reds
2009,95,Drink,"Fabulous wines throughout despite a challenging season; the ripeness is there, even if it came late",United States,Paso Robles,California/Rhône-Style Reds
2008,98,Drink,"A tough start ended with glorious wines statewide, rivaling 2007 for complexity, depth and finesse",United States,Paso Robles,California/Rhône-Style Reds
2007,96,Drink,"Tremendous quality and uncommon complexity statewide; the best on record, along with 2009 and 2006",United States,Paso Robles,California/Rhône-Style Reds
2006,92,Drink,"A golden vintage, fabulous acoss all regions, offering great diversity of styles",United States,Paso Robles,California/Rhône-Style Reds
