Vintage,Score,Drink Window,Description,Country,Region,Variety
2020,90,Drink or hold,"A hot summer led to ripe, full-bodied reds; late-summer wildfires caused concern  Leonetti Reserve Walla Walla Valley  Top-scoring wines (click for full tasting note):


Quilceda Creek Cabernet Sauvignon Columbia Valley


Figgins Walla Walla Valley


Leonetti Reserve Walla Walla Valley",United States,Washington,"Merlot, Cabernet and Syrah"
2019,94,Drink or hold,"Ideal growing season, except for an early October frost; reds are generous and polished  Horsepower Syrah Walla Walla Valley The Tribe Vineyard  Top-scoring wines (click for full tasting note):


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Cayuse Syrah Walla Walla Valley En Chamberlin Vineyard


Horsepower Syrah Walla Walla Valley The Tribe Vineyard",United States,Washington,"Merlot, Cabernet and Syrah"
2018,93,Drink or hold,"Cool autumn weather salvaged an otherwise hot year, making for full-bodied yet well-balanced wines  Cayuse Syrah Walla Walla Valley Wallah Wallah Special #12  Top-scoring wines (click for full tasting note):


No Girls Syrah Walla Walla Valley La Paciencia Vineyard


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Cayuse Syrah Walla Walla Valley Wallah Wallah Special #12",United States,Washington,"Merlot, Cabernet and Syrah"
2017,90,Drink or hold,"A cool, wet spring led to a hot summer, but moderate weather near harvest helped build expression  Cayuse Syrah Walla Walla Valley Armada Vineyard  Top-scoring wines (click for full tasting note):


K Roma River Rock Vineyard Walla Walla Valley


Betz Syrah Red Mountain La Côte Rousse


Cayuse Syrah Walla Walla Valley Armada Vineyard",United States,Washington,"Merlot, Cabernet and Syrah"
2016,91,Drink or hold,"A warm spring gave way to a moderate summer, promising balanced but structured wines  Reynvaan Syrah Walla Walla Valley In The Rocks  Top-scoring wines (click for full tasting note):


Force Majeure Parabellum Coulée Red Mountain


Leonetti Reserve Walla Walla Valley


Reynvaan Syrah Walla Walla Valley In The Rocks",United States,Washington,"Merlot, Cabernet and Syrah"
2015,91,Drink or hold,"Hot, sunny growing season yielded full-bodied reds with ripe flavors and formidable tannins  No Girls Syrah Walla Walla Valley La Paciencia Vineyard  Top-scoring wines (click for full tasting note):


Horsepower Syrah Walla Walla Valley The Tribe Vineyard


K Syrah Walla Walla Valley Powerline


No Girls Syrah Walla Walla Valley La Paciencia Vineyard",United States,Washington,"Merlot, Cabernet and Syrah"
2014,92,Drink or hold,"Hot growing season produced wines of generosity, with ripe flavors; best achieve balance  K Syrah Walla Walla Valley Powerline Estate  Top-scoring wines (click for full tasting note):


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Cayuse Syrah Walla Walla Valley En Cerise Vineyard


K Syrah Walla Walla Valley Powerline Estate",United States,Washington,"Merlot, Cabernet and Syrah"
2013,92,Drink or hold,"Hot summer and cool harvest led to ripe flavors and moderate alcohols; some elevated tannins. Syrah better than Cabernet  Charles Smith Syrah Columbia Valley Royal City Stoneridge Vineyard  Top-scoring wines (click for full tasting note):


Reynvaan Syrah Walla Walla Valley In The Rocks


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Charles Smith Syrah Columbia Valley Royal City Stoneridge Vineyard",United States,Washington,"Merlot, Cabernet and Syrah"
2012,95,Drink or hold,Ideal conditions produced powerful wines with elegance  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2011,89,Drink,Another cool year; moderate alcohols with crisp balance  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2010,91,Drink,Cool year produced crisp reds with lovely ripe flavors  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2009,92,Drink or hold,Late year with early frost made fine Merlot and Syrah  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2008,95,Drink,Cool summer and warm autumn; many great wines  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2007,96,Drink,"Hot summer and cool autumn made rich, balanced wines  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2006,94,Drink,Ripe but balanced; similar to 2005  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2005,93,Drink,Ripe flavors but not excessively heavy  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2004,91,Drink,Walla Walla wiped out by freeze; rest of state solid  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2003,92,Drink,"Ripe vintage, broad and generous  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2002,90,Drink,Ripe but tannic  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2001,91,Drink,Hot vintage; ripe wines  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2000,90,Drink,Warm vintage with balanced reds  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
2021,NYR,NYR,"An atypical harvest requiring patience and technical expertise, with cool temperatures and rain slowing ripening; reds are concentrated as a result, yet relatively lower in alcohol, while yields were average or slightly below  Bodega Catena Zapata Malbec Mendoza Argentino  Top-scoring wines (click for full tasting note):


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard River


Bodega Catena Zapata Malbec Mendoza Argentino",United States,Washington,"Merlot, Cabernet and Syrah"
2020,92,Drink or hold,"A challenging vintage, with late spring frosts reducing yields and a warm, dry summer causing accelerated ripening. Those who picked before overripening set in made wines with good concentration and freshness  Familia Zuccardi Finca Canal Uco Paraje Altamira  Top-scoring wines (click for full tasting note):


Familia Zuccardi Malbec Gualtallary Finca Las Cerrilladas


Dominio del Plata Susana Balbo Nosotros Single Vineyard Nomade Gualtallary Uco Valley


Familia Zuccardi Finca Canal Uco Paraje Altamira",United States,Washington,"Merlot, Cabernet and Syrah"
2017,92,Drink or hold,"A return to characteristically dry weather delivers intensely flavored grapes, but yields are low due to a spring frost; refined, terroir-driven Malbec-based wines, especially in prime districts in the Uco Valley  Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae  Top-scoring wines (click for full tasting note):


Matervini Malbec Mendoza Piedras Viejas El Challao-Las Heras


Viña Cobos Malbec Los Árboles Bramare Chañares Estate


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae",United States,Washington,"Merlot, Cabernet and Syrah"
